[2025-12-16 13:53:28 [AUTH-SERVICE] [WARNING] [Error 403 - Token interno invalido]
[2025-12-16 14:04:24 [AUTH-SERVICE] [WARNING] [Error 403 - Token interno invalido]
[2025-12-16 14:08:46 [AUTH-SERVICE] [WARNING] [Error 403 - Token interno invalido]
[2025-12-16 14:08:58 [AUTH-SERVICE] [WARNING] [Error 403 - Token interno invalido]
[2025-12-16 14:40:06 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 14:18:26 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 14:18:42 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 14:18:49 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 14:19:33 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 14:25:49 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 14:28:16 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 14:29:26 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 14:30:46 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 14:32:49 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 14:33:02 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
